Date,Bench_MaxDD_5d,Bench_MaxDD_21d,Bench_MaxDD_63d,Bench_MaxDD_126d,Bench_MaxDD_252d,MA200_LowCost_MaxDD_5d,MA200_LowCost_MaxDD_21d,MA200_LowCost_MaxDD_63d,MA200_LowCost_MaxDD_126d,MA200_LowCost_MaxDD_252d,MA200_HighCost_MaxDD_5d,MA200_HighCost_MaxDD_21d,MA200_HighCost_MaxDD_63d,MA200_HighCost_MaxDD_126d,MA200_HighCost_MaxDD_252d,Tech_Drift_MaxDD_5d,Tech_Drift_MaxDD_21d,Tech_Drift_MaxDD_63d,Tech_Drift_MaxDD_126d,Tech_Drift_MaxDD_252d
2006-02-02,-0.008348980064765244,-0.013135604639676028,-0.013135604639676257,-0.037384686155183804,-0.04075653134223304,-0.0034716760673419206,-0.009499779474398833,-0.027688891526896398,-0.05689440337183426,-0.05689440337183482,-0.003502219768907724,-0.00913124792340699,-0.028836925954242386,-0.06994173273784855,-0.06994173273784866,-0.018014024060478466,-0.04535999744525575,-0.04535999744525546,-0.05685262998300176,-0.10470116504997949
2006-02-03,-0.009768624443860424,-0.013616105607441234,-0.013616105607441203,-0.037384686155183394,-0.0407565313422333,-0.010015693769345392,-0.010015693769345529,-0.027688891526896298,-0.056894403371834386,-0.0568944033718344,-0.010060732875815777,-0.010060732875815838,-0.02883692595424207,-0.06994173273784891,-0.06994173273784862,-0.030102079680684766,-0.05299693121660363,-0.05299693121660426,-0.0568526299830016,-0.1047011650499791
2006-02-06,-0.008528536124452335,-0.013616105607440926,-0.013616105607440624,-0.037384686155183575,-0.04075653134223333,-0.009998659314531925,-0.010015693769345179,-0.027688891526896377,-0.056894403371834434,-0.056894403371834275,-0.010028948528692187,-0.010060732875815522,-0.02883692595424211,-0.0699417327378485,-0.06994173273784836,-0.03179065552102516,-0.0555423011033813,-0.05554230110338135,-0.05685262998300156,-0.10470116504997944
2006-02-07,-0.01260108572758524,-0.017667757605515505,-0.01766775760551564,-0.03738468615518411,-0.040756531342232984,-0.024393283879219865,-0.024410070652973265,-0.02768889152689617,-0.056894403371834316,-0.05689440337183442,-0.025386525534708895,-0.02541781680624415,-0.0288369259542423,-0.06994173273784872,-0.06994173273784872,-0.03606140775889031,-0.05970828530311338,-0.05970828530311285,-0.059708285303112556,-0.10470116504997928
2006-02-08,-0.005958028055873862,-0.017667757605515432,-0.01766775760551584,-0.03738468615518356,-0.040756531342233365,-0.02115677756236419,-0.024410070652973247,-0.027688891526896412,-0.05689440337183476,-0.05689440337183415,-0.022120060715169695,-0.025417816806244276,-0.02883692595424233,-0.06994173273784855,-0.06994173273784868,-0.019309506056380172,-0.05970828530311281,-0.05970828530311267,-0.05970828530311308,-0.10470116504997906
2006-02-09,-0.005587465976433763,-0.017667757605515432,-0.01766775760551552,-0.03738468615518383,-0.04075653134223282,-0.01699386179925554,-0.02441007065297313,-0.027688891526896235,-0.05689440337183462,-0.05689440337183489,-0.01698402292617116,-0.025417816806244088,-0.028836925954242112,-0.0699417327378487,-0.0699417327378486,-0.00948891860226587,-0.05970828530311315,-0.05970828530311258,-0.059708285303112694,-0.10470116504997883
2006-02-10,-0.0055874659764338355,-0.0169013115156851,-0.017667757605515966,-0.03738468615518381,-0.04075653134223316,-0.016993861799255577,-0.024410070652973234,-0.027688891526896377,-0.05689440337183493,-0.05689440337183485,-0.016984022926171204,-0.02541781680624401,-0.028836925954242216,-0.06994173273784894,-0.06994173273784826,-0.009488918602265868,-0.05511606271928101,-0.05970828530311281,-0.05970828530311306,-0.10470116504997924
2006-02-13,-0.0013115113513658334,-0.016901311515685084,-0.017667757605515866,-0.03738468615518403,-0.04075653134223331,-0.020708841792862843,-0.030440032353677236,-0.03044003235367735,-0.05689440337183451,-0.05689440337183437,-0.022690989690574967,-0.034363419430507754,-0.034363419430508094,-0.06994173273784882,-0.06994173273784857,-0.014842091788053659,-0.05793433742494975,-0.06294879283188194,-0.0629487928318821,-0.10470116504997974
2006-02-14,-0.0013115113513659288,-0.015489673699757883,-0.01766775760551553,-0.03738468615518402,-0.04075653134223271,-0.02070884179286268,-0.030440032353677426,-0.03044003235367704,-0.0568944033718349,-0.05689440337183438,-0.022690989690575026,-0.034363419430507476,-0.03436341943050784,-0.06994173273784855,-0.06994173273784889,-0.014842091788053766,-0.05175744754354263,-0.06294879283188214,-0.06294879283188233,-0.10470116504997903
2006-02-15,-0.0008095617420195852,-0.015287567922373433,-0.017667757605515064,-0.03738468615518354,-0.040756531342233254,-0.02070884179286286,-0.030440032353677437,-0.030440032353677468,-0.05689440337183458,-0.05689440337183476,-0.022690989690574977,-0.03436341943050776,-0.034363419430507726,-0.06994173273784837,-0.06994173273784893,-0.011475065290494895,-0.04774278093776882,-0.06294879283188214,-0.0629487928318823,-0.10328982329591836
