"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2005","6,627.9229","6,590.9722","7,011.4678","6,400.0020","","2.87%"
"11/01/2005","6,443.1001","6,672.6558","6,781.9609","6,315.9502","","-3.85%"
"10/01/2005","6,700.9380","7,433.8350","7,433.8350","6,700.9380","","-10.33%"
"09/01/2005","7,472.4790","7,634.1250","7,634.1250","6,918.3550","","0.02%"
"08/01/2005","7,471.1382","6,598.7598","7,509.2280","6,571.6382","","15.14%"
"07/01/2005","6,488.5469","6,328.2461","6,615.4600","6,184.7861","","5.50%"
"06/01/2005","6,150.5552","6,044.8188","6,457.2539","5,974.4092","","5.80%"
"05/01/2005","5,813.6431","5,915.2241","5,944.0342","5,581.7100","","-0.73%"
"04/01/2005","5,856.5620","6,573.7349","6,573.7349","5,856.5620","","-9.05%"
"03/01/2005","6,439.3818","5,974.3101","6,460.2769","5,974.3101","","7.56%"
"02/01/2005","5,986.8218","5,557.0791","5,986.8218","5,354.4580","","6.23%"
"01/01/2005","5,635.9180","5,173.2539","5,747.4600","5,173.2539","","6.76%"
"12/01/2004","5,278.9771","5,592.7388","5,648.8149","5,164.6982","","-9.99%"
"11/01/2004","5,864.7852","6,019.8848","6,077.7339","5,654.9468","","-4.84%"
"10/01/2004","6,162.9058","5,945.2002","6,473.3169","5,909.2368","","4.15%"
"09/01/2004","5,917.4331","5,400.4600","5,917.4331","5,252.3418","","12.61%"
"08/01/2004","5,254.6191","5,440.5640","5,722.2109","5,254.6191","","-3.88%"
"07/01/2004","5,466.8989","5,213.5928","5,466.8989","5,195.3872","","7.75%"
"06/01/2004","5,073.5630","5,575.0181","5,575.0181","4,966.7690","","-4.70%"
"05/01/2004","5,323.7798","5,184.1348","5,490.4009","5,184.1348","","4.63%"
"04/01/2004","5,088.3481","4,858.1299","5,096.4458","4,828.7949","","2.76%"
"03/01/2004","4,951.7788","4,929.9810","5,032.8550","4,766.0752","","2.01%"
"02/01/2004","4,854.2280","4,631.3799","4,854.2280","4,461.2280","","7.42%"
"01/01/2004","4,518.9072","4,520.7021","4,786.4512","4,511.5601","","0.39%"
"12/01/2003","4,501.2700","4,256.7700","4,692.3398","4,256.7700","","6.24%"
"11/01/2003","4,236.6899","4,081.7319","4,415.0498","4,070.2981","","2.56%"
"10/01/2003","4,130.9790","4,053.6421","4,378.7749","4,053.6421","","2.19%"
"09/01/2003","4,042.4160","4,036.2251","4,081.7251","3,844.4041","","-4.08%"
"08/01/2003","4,214.5352","4,199.5449","4,273.7729","4,134.1758","","4.09%"
"07/01/2003","4,049.0730","4,031.1521","4,113.2642","3,950.2839","","0.71%"
"06/01/2003","4,020.4409","4,104.0859","4,176.3989","3,926.7900","","0.22%"
"05/01/2003","4,011.6370","3,665.5371","4,011.6370","3,632.0911","","9.59%"
"04/01/2003","3,660.6641","3,817.5481","3,906.3501","3,608.7590","","-6.14%"
"03/01/2003","3,900.0139","4,434.8018","4,552.4072","3,668.8740","","-14.41%"
"02/01/2003","4,556.6831","4,032.3630","4,556.6831","4,032.3630","","12.12%"
"01/01/2003","4,064.0171","3,819.3821","4,075.0581","3,744.5710","","8.99%"
"12/01/2002","3,728.7571","3,476.9810","3,864.6699","3,421.9209","","8.53%"
"11/01/2002","3,435.6631","3,438.3669","3,449.0610","3,229.6709","","-0.22%"
"10/01/2002","3,443.1370","3,639.0620","3,639.0620","3,411.2190","","-4.72%"
"09/01/2002","3,613.6479","3,367.5911","3,629.2729","3,367.5911","","4.57%"
"08/01/2002","3,455.8350","3,208.9500","3,485.8640","3,191.5959","","6.05%"
"07/01/2002","3,258.7480","3,256.9919","3,319.7000","3,180.5110","","0.58%"
"06/01/2002","3,240.0149","3,128.4641","3,240.0149","3,045.5039","","3.42%"
"05/01/2002","3,132.9490","3,230.2361","3,389.4370","3,085.4910","","-4.35%"
"04/01/2002","3,275.4709","3,294.5559","3,383.1201","2,989.6460","","1.11%"
"03/01/2002","3,239.6060","2,915.8940","3,239.6060","2,915.8940","","13.48%"
"02/01/2002","2,854.7371","2,804.8159","2,867.5691","2,744.5200","","4.37%"
"01/01/2002","2,735.2620","2,891.2681","2,929.8730","2,695.5349","","-3.12%"
"12/01/2001","2,823.3469","2,889.0320","2,916.2161","2,729.8030","","-1.33%"
"11/01/2001","2,861.2759","2,966.4470","3,059.6079","2,730.6819","","-5.37%"
"10/01/2001","3,023.6721","3,163.5769","3,170.4880","2,997.6960","","-5.04%"
"09/01/2001","3,184.2380","3,549.4170","3,767.1169","3,091.3291","","-10.96%"
"08/01/2001","3,576.0310","3,538.9150","3,640.7109","3,527.9861","","0.96%"
"07/01/2001","3,542.1650","3,508.5979","3,645.6970","3,445.5171","","0.24%"
"06/01/2001","3,533.7090","3,795.9600","3,890.3611","3,495.5359","","-7.23%"
"05/01/2001","3,809.2781","3,951.3250","3,978.6431","3,809.2781","","-2.85%"
"04/01/2001","3,920.9651","3,688.7290","4,024.9299","3,688.7290","","5.37%"
"03/01/2001","3,721.1340","3,887.7261","4,006.5359","3,721.1340","","-3.92%"
"02/01/2001","3,872.9260","4,071.3950","4,205.2749","3,872.9260","","-1.40%"
"01/01/2001","3,927.7520","4,022.4309","4,208.5708","3,927.7520","","-5.31%"
"12/01/2000","4,147.9009","4,129.4141","4,245.4858","3,929.4031","","-2.06%"
"11/01/2000","4,235.2192","3,922.4460","4,338.4849","3,895.3950","","9.22%"
"10/01/2000","3,877.8601","3,969.7329","4,266.1528","3,860.4160","","0.23%"
