,Active_Assets,Risk_On_Weight_Sum,Target_Leverage,Actual_Gross_Exposure,Actual_Borrowing
1998-07-31,3.0,0.8812163294044761,1.6354056470237357,1.4411461613576086,0.44114616135760865
1998-08-31,3.0,0.8863123447847558,1.6244711500744196,1.439788834057648,0.4397888340576479
1998-09-30,2.0,0.7585905576056156,1.8779229954475671,1.4245746522569778,0.42457465225697777
1998-10-31,2.0,0.7532905269050298,1.7470347519435168,1.3160247288129299,0.31602472881292987
1998-11-30,3.0,0.8830199030073997,1.7582074674801071,1.5525321874011702,0.5525321874011702
1998-12-31,3.0,0.8901936163248965,1.7867237870346104,1.590530109354054,0.590530109354054
1999-01-31,3.0,0.8848876124509203,1.8330408670586993,1.6220351563765372,0.6220351563765372
1999-02-28,3.0,0.8848395975846213,1.8328761024527058,1.6218013529167212,0.6218013529167212
1999-03-31,2.0,0.5771890251539512,1.7831309802519086,1.0292036322134086,0.029203632213408603
1999-04-30,3.0,0.6901475558557693,1.761020591101443,1.215364056760343,0.21536405676034298
1999-05-31,3.0,0.6890566831545096,1.7680697421529652,1.2183002721137712,0.21830027211377123
1999-06-30,2.0,0.23072397872786177,1.7420266876079955,0.40192732841503465,0.0
1999-07-31,2.0,0.23026840921807612,1.7511603334672026,0.40323690427328845,0.0
1999-08-31,2.0,0.2323568699580511,1.7471001745120964,0.4059507280527956,0.0
1999-09-30,2.0,0.2301282307695588,1.761013862696491,0.40525900458301023,0.0
1999-10-31,1.0,0.10126628094591646,1.798630724843647,0.18214064429997412,0.0
1999-11-30,2.0,0.21983574724830418,1.849487054933804,0.4065833687474382,0.0
1999-12-31,3.0,0.6864981742644153,1.8916728790046955,1.2986299777422337,0.29862997774223365
2000-01-31,2.0,0.21592575848567885,1.913582148059038,0.4131916767443024,0.0
2000-02-29,2.0,0.2136640325121181,1.960321997405126,0.41885030298778914,0.0
2000-03-31,3.0,0.6894478680455567,1.9665243005317539,1.3558159864613972,0.3558159864613972
2000-04-30,4.0,0.9999999999999999,2.0252294013075387,2.0252294013075383,1.0252294013075383
2000-05-31,4.0,0.9999999999999999,2.015768101092617,2.0157681010926165,1.0157681010926165
2000-06-30,3.0,0.5208225906685324,2.026246792281843,1.055315103690033,0.05531510369003301
2000-07-31,4.0,1.0,1.9604027157587685,1.9604027157587685,0.9604027157587685
2000-08-31,4.0,1.0,2.0865128654450698,2.0865128654450698,1.0865128654450698
2000-09-30,4.0,1.0000000000000002,2.03362550711023,2.0336255071102305,1.0336255071102305
2000-10-31,3.0,0.8892600370671672,2.10701596751655,1.8736850973748804,0.8736850973748804
2000-11-30,3.0,0.8893698569109406,2.1055672415820124,1.8726280363621584,0.8726280363621584
2000-12-31,3.0,0.8923853303158505,2.1573585409076,1.9251951141375498,0.9251951141375498
2001-01-31,3.0,0.8904636306958762,2.122884228741631,1.8903511978722876,0.8903511978722876
2001-02-28,3.0,0.8885439100049842,2.1137799995776088,1.8781863457150223,0.8781863457150223
2001-03-31,3.0,0.8914595532074858,2.162723574584525,1.9279805915104173,0.9279805915104173
2001-04-30,2.0,0.8079907586039435,2.185487844688676,1.765853981549701,0.765853981549701
2001-05-31,3.0,0.893255339639202,2.2114590114056867,1.9753975703313607,0.9753975703313607
2001-06-30,2.0,0.8066557503168403,2.206839590852885,1.7801598459883428,0.7801598459883428
2001-07-31,2.0,0.8078051633821188,2.1941890377182642,1.7724772341052566,0.7724772341052566
2001-08-31,2.0,0.7989022903756433,2.141204684291815,1.710613326443787,0.710613326443787
2001-09-30,2.0,0.790806860980045,2.0162878845649703,1.5944942928249195,0.5944942928249195
2001-10-31,2.0,0.8057459304367149,2.254681177955536,1.8167001835699317,0.8167001835699317
2001-11-30,2.0,0.8006119404099745,2.1753059368295395,1.741575907070435,0.7415759070704351
2001-12-31,2.0,0.7953642940118664,2.131120645849239,1.6950172679399929,0.6950172679399929
2002-01-31,2.0,0.7920302394508669,2.0670318522450275,1.6371517328861982,0.6371517328861982
2002-02-28,2.0,0.791706479347314,2.054547054232329,1.6265982149596723,0.6265982149596723
2002-03-31,2.0,0.8067809393996055,2.301256398662411,1.856609799112213,0.856609799112213
2002-04-30,2.0,0.20496532900549363,2.3289521629833323,0.47735444632393476,0.0
2002-05-31,3.0,0.8841724349796155,2.3280597236616427,2.0584062346478853,1.0584062346478853
2002-06-30,3.0,0.8867498806227463,2.4851907498197146,2.2037426007273853,1.2037426007273853
2002-07-31,3.0,0.887766300747542,2.497951153313381,2.2175968548250764,1.2175968548250764
2002-08-31,3.0,0.89038981159091,2.5,2.225974528977275,1.2259745289772752
2002-09-30,3.0,0.8870652497533693,2.38460020467772,2.115295976124377,1.115295976124377
2002-10-31,3.0,0.8891807978689591,2.4369859076594573,2.1669210737680458,1.1669210737680458
2002-11-30,3.0,0.889161638238155,2.427888900412461,2.1587856721509766,1.1587856721509766
2002-12-31,3.0,0.8905314800885764,2.4524541571448095,2.1839876304115493,1.1839876304115493
2003-01-31,3.0,0.8862484070345454,2.2969958181506858,2.035708884801058,1.0357088848010578
2003-02-28,3.0,0.8864790016982823,2.3053803862332214,2.0436713033228266,1.0436713033228266
2003-03-31,3.0,0.8846979690264332,2.21349986746369,1.9582788371854054,0.9582788371854054
2003-04-30,3.0,0.8779506792102777,2.0170716824920465,1.7708894536597097,0.7708894536597097
